Song Name,Chunk Number,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"tum jo aaye",3,0.6371,0.7285,-7.2183,0.0568,0.4408,0,0.1467,0.8856,139.9658
"tum jo aaye",4,0.6318,0.713,-7.679,0.0601,0.3066,0.0247,0.1296,0.8524,124.5424
"tum jo aaye",5,0.5722,0.6654,-6.6237,0.054,0.4886,0.0026,0.1362,0.6322,127.7665
"tum jo aaye",6,0.6212,0.7746,-8.3979,0.0569,0.2705,0.0572,0.1366,0.9368,122.9311
"tum jo aaye",7,0.5688,0.76,-5.744,0.0579,0.3851,0.0014,0.136,0.734,146.2768
"tum jo aaye",8,0.6289,0.6273,-7.6222,0.0705,0.5011,0.0021,0.1342,0.7375,120.0398
"tum jo aaye",9,0.5958,0.7015,-7.1881,0.0533,0.4141,0.0019,0.1482,0.7647,127.5879
"tum jo aaye",10,0.34,0.7224,-9.1869,0.0453,0.3404,0.3008,0.178,0.5806,107.1938
"tum jo aaye",1,0.6974,0.7093,-8.5446,0.0636,0.4537,0.0593,0.1354,0.9216,95.4433
"tum jo aaye",2,0.6377,0.7101,-7.6029,0.0769,0.5132,0.0072,0.1404,0.7609,116.2674
"tum jo aaye",3,0.6371,0.7285,-7.2183,0.0568,0.4408,0,0.1467,0.8856,139.9658
"tum jo aaye",4,0.6318,0.713,-7.679,0.0601,0.3066,0.0247,0.1296,0.8524,124.5424
"tum jo aaye",5,0.5722,0.6654,-6.6237,0.054,0.4886,0.0026,0.1362,0.6322,127.7665
"tum jo aaye",6,0.6212,0.7746,-8.3979,0.0569,0.2705,0.0572,0.1366,0.9368,122.9311
"tum jo aaye",7,0.5688,0.76,-5.744,0.0579,0.3851,0.0014,0.136,0.734,146.2768
"tum jo aaye",8,0.6289,0.6273,-7.6222,0.0705,0.5011,0.0021,0.1342,0.7375,120.0398
"tum jo aaye",9,0.5958,0.7015,-7.1881,0.0533,0.4141,0.0019,0.1482,0.7647,127.5879
"tum jo aaye",10,0.34,0.7224,-9.1869,0.0453,0.3404,0.3008,0.178,0.5806,107.1938
"tum jo aaye",1,0.6974,0.7093,-8.5446,0.0636,0.4537,0.0593,0.1354,0.9216,95.4433
"tum jo aaye",2,0.6377,0.7101,-7.6029,0.0769,0.5132,0.0072,0.1404,0.7609,116.2674
"tum jo aaye",3,0.6371,0.7285,-7.2183,0.0568,0.4408,0,0.1467,0.8856,139.9658
"tum jo aaye",4,0.6318,0.713,-7.679,0.0601,0.3066,0.0247,0.1296,0.8524,124.5424
"tum jo aaye",5,0.5722,0.6654,-6.6237,0.054,0.4886,0.0026,0.1362,0.6322,127.7665
"tum jo aaye",6,0.6212,0.7746,-8.3979,0.0569,0.2705,0.0572,0.1366,0.9368,122.9311
"tum jo aaye",7,0.5688,0.76,-5.744,0.0579,0.3851,0.0014,0.136,0.734,146.2768
